"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Cache.js","4","1","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"2","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Cache.js","215","48","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"3","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Cache.js","233","38","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"4","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","4","2","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"5","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","70","51","no-undef","'UserContext' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"6","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","80","51","no-undef","'UserContext' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"7","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","94","28","no-undef","'DateUtil' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"8","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","159","29","no-prototype-builtins","Do not access Object.prototype method 'hasOwnProperty' from target object.","https://eslint.org/docs/latest/rules/no-prototype-builtins","problem","eslint"
"9","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.DataTypes.js","159","89","no-extra-semi","Unnecessary semicolon.","https://eslint.org/docs/latest/rules/no-extra-semi","suggestion","eslint"
"10","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","4","1","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"11","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","48","48","no-prototype-builtins","Do not access Object.prototype method 'hasOwnProperty' from target object.","https://eslint.org/docs/latest/rules/no-prototype-builtins","problem","eslint"
"12","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","88","15","no-unused-vars","'PREFERENCE_CACHE_HANDLER' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"13","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","108","38","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"14","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","150","19","no-unused-vars","'errors' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars","problem","eslint"
"15","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","218","42","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"16","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","263","41","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"17","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","299","42","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"18","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","350","41","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"19","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","391","41","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"20","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","463","42","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"21","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","536","41","no-undef","'OrgCheck' is not defined.","https://eslint.org/docs/latest/rules/no-undef","problem","eslint"
"22","2","/Users/vfinet/Dev/OrgCheck/build/src/javascript/orgcheck/OrgCheck.Datasets.js","606","26","no-extra-semi","Unnecessary semicolon.","https://eslint.org/docs/latest/rules/no-extra-semi","suggestion","eslint"
